UPDATE_DATE,CITY,HOSPITAL,PROG_SERV,NUM_CLOSE,REASON,PERC_BED_OP,HIST_AVG_OCC,START_DATE,ANTICP_END_DATE
2021-08-09,Edmonton,Royal Alexandra Hospital,Emergency Department,Number of Closures: 6 out of 56 Care Spaces,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",89%,Average over last 3 months is approx 190-200 patient visits per day,2021-06-26,2021-09-30
2021-08-09,Edmonton,"
University of Alberta Hospital","
Surgery",Bed or Space Reduction: 2 out of 14 Operating Rooms,Temporary lack of physician coverage,86%,N / A,2021-07-26,2021-08-26
2021-08-09,St. Albert,Sturgeon Community Hospital,Emergency Department,Bed or Space Reduction: 3 out of 43 Care Spaces,Waiting Room Under Construction to improve / expand patient flow and access,93%,N / A,2021-07-27,2021-08-18
2021-08-09,Fort Vermillion,St. Theresa General Hospital,Acute Care,Bed or Space Reduction: 12 out of 26 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",54%,March 45.4%,2021-05-01,2021-09-15
2021-08-09,St. Paul,St. Therese - St. Paul Healthcare Centre,Acute Care,Bed or Space Reduction: 10 out of 42 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",76%,"February 65%, March 80%, April 85%",2021-06-07,2021-08-31
2021-08-09,Westlock,Westlock Healthcare Centre,Acute Care,Bed or Space Reduction: 10 out of 46 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",78%,"April 81%, May 71%, June 67%",2021-07-26,2021-08-31
2021-08-09,Westlock,Westlock Healthcare Centre,Obstetrics,Bed or Space Reduction: N / A,Temporary lack of physician coverage,N / A,"April 81%, May 71%, June 67%",2021-08-01,2021-08-13
2021-08-09,Lac la Biche,William J. Cadzow - Lac la Biche Healthcare Centre,Acute Care,Bed or Space Reduction: 8 out of 23 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",65%,"April 80%, May 75%, June 75%",2021-07-02,2021-08-31
2021-08-09,Hanna,Hanna Health Centre,Acute Care,Bed or Space Reduction: 7 out of 17 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",59%,June 43.5%,2021-07-21,2021-09-21
2021-08-09,Lacombe,Lacombe Hospital,Acute Care,Bed or Space Reduction: 11 out of 35 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",69%,June 87.5%,2021-07-08,2021-08-10
2021-08-09,Red Deer,Red Deer Regional Hospital,Acute Care,Bed or Space Reduction: 6 out of 370 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",98%,"May 101%, June 95%, July 98%",2021-07-07,2021-09-09
2021-08-09,Red Deer,Red Deer Regional Hospital,Emergency Department,Bed or Space Reduction: 7 out of 46 Care Spaces,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",Percentage of Beds in Operation: 85%,"Emergency Department Visits: June 4,415",2021-07-12,2021-08-12
2021-08-09,Rocky Mountain House,Rocky Mountain House Health Centre,Acute Care,Bed or Space Reduction: 6 out of 31 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",81%,Summer occupancy ranges between 58-80%,2021-07-05,2021-08-31
2021-08-09,Galahad,Galahad Care Centre,Long-Term Care,Bed or Space Reduction: 20 out of 20 LTC Beds. All patients accommodated in other locations.,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",0%,N / A,2021-06-02,2021-08-31
2021-08-09,Wetaskiwin,Wetaskiwin Hospital & Health Centre,Obstetrics - Cesarian Sections,Bed or Space Reduction: No c-section available - labour and delivery remains open,Temporary lack of physician coverage,"C-Section Deliveries March 2021 - 5, April 2021 �12, May 2021 � 16","March 2021 � 5 C-section deliveries, April 2021 � 12 C-section deliveries, May 2021 � 16 C- section deliveries",2021-08-03,2021-08-15
2021-08-09,Barrhead,Barrhead Health Centre,Acute Care,Bed or Space Reduction: 10 out of 34 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",Percentage of Beds in Operation: 71%,"April 64.6%, May 78.9%, June 76.7%",2021-07-08,2021-08-31
2021-08-09,Barrhead,"
Barrhead Home Care","
Home Care out of Ambulatory Visit Reduction",Bed or Space Reduction: Reduction in non-urgent home care visits,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",Percentage of Beds in Operation: N / A,July 224 clients,2021-07-06,2021-10-06
2021-08-09,Elk Point,Elk Point Healthcare Centre,Emergency Department,Bed or Space Reduction: 5 out of 5,"Has no onsite physician Tuesdays and Thursdays (from 8 a.m. to 8 a.m. the following day). Nursing staff will assess, triage and refer patients as appropriate.","Percentage of Beds in Operation: 0% (Tuesdays and Thursdays, see note above)",N / A,2021-06-01,2021-08-31
2021-08-09,Whitecourt,Whitecourt Healthcare Centre,Obstetrics,Bed or Space Reduction: Downgrade from level 1C to 1A obstetrical services due to lack of physician resource,Temporary lack of physician coverage,Percentage of Beds in Operation: Downgrade from level 1C to 1A obstetrical services due to lack of physician resource,N / A,2021-07-12,2021-08-26
2021-08-09,Beaverlodge,Beaverlodge Municipal Hospital,Acute Care,Bed or Space Reduction: 6 out of 18 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",Percentage of Beds in Operation: 67%,March 78.4%,2021-04-05,2021-08-31
2021-08-09,Spirit River,Central Peace Health Complex,Acute Care,Bed or Space Reduction: 4 out of 12 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",Percentage of Beds in Operation: 67%,March 77.4%,2021-04-05,2021-08-31
2021-08-09,Cold Lake,Cold Lake Healthcare Centre,Acute Care,Bed or Space Reduction: 5 out of 24 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",Percentage of Beds in Operation: 79%,"February 82.5%, March 89.7%, April 89.5%",2021-06-30,2021-08-31
2021-08-09,Edson,Edson Healthcare Centre,Acute Care,Bed or Space Reduction: 6 out of 24 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",Percentage of Beds in Operation: 75%,Between 75-100% in the last quarter,2021-05-31,2021-08-31
2021-08-09,Edson,Edson Healthcare Centre,Surgical,Bed or Space Reduction: OR closure due to lack of anesthesia coverage. No surgeries have been impacted as a result as no surgeries were booked during the timeframe.,Temporary lack of physician coverage,Percentage of Beds in Operation: N / A,N / A,2021-08-06,2021-08-08
2021-08-09,High Prairie,High Prairie Health Complex,Acute Care,Bed or Space Reduction: 6 out of 30 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",Percentage of Beds in Operation: 80%,March 64.5%,2021-03-01,2021-08-31
2021-08-09,High Level,Northwest Healthcare Centre,Acute Care,Bed or Space Reduction: 6 out of 21 Acute Care Beds,"Temporary staff shortage due to vacation, vacancies, ongoing recruitment",Percentage of Beds in Operation: 71%,March 61.4%,2021-05-01,2021-08-31
